id,created_at,updated_at,snapshot,indicator_key,title,left_key,right_key,left_value,right_value,diff_value,category,summary
1,2026-03-07 16:59:45.215639+00:00,2026-03-07 16:59:45.215644+00:00,1,300_vs_2000,沪深300/中证2000,INDEX_300,CSI_2000,0.27,1.34,1.07,较重分歧,沪深300/中证2000: 涨跌幅分别为 +0.27% / +1.34%，差值 1.07% -> 较重分歧。
2,2026-03-07 16:59:45.216013+00:00,2026-03-07 16:59:45.216017+00:00,1,sh_vs_chinext,上证核心/创业板,INDEX_50,CHINEXT,-0.28,0.38,0.66,分化（市场存在分歧）,上证核心/创业板: 涨跌幅 -0.28% / +0.38% -> 分化（市场存在分歧）。
3,2026-03-07 16:59:45.216324+00:00,2026-03-07 16:59:45.216328+00:00,1,sh_vs_hstech,上证核心/恒科,INDEX_50,HSTECH,-0.28,3.15,-3.43,反向,上证核心/恒科: 涨跌幅 -0.28% / +3.15%，相对差 -3.43%（反向）。
