id,created_at,updated_at,account_code,account_name,account_type,base_currency,broker_name,initial_balance,available_cash,frozen_cash,liability,risk_limit,total_market_value,total_unrealized_pnl,total_equity,status,notes
5,2026-03-07 16:31:46.449456+00:00,2026-03-08 12:11:56.893929+00:00,CJZQ_DIVIDEND,CJZQ_DIVIDEND,融资账户,CNY,CSV导入,0.0000,6750.8000,0.0000,80021.2100,0.0000,461968.0000,57101.2000,388697.5900,启用,"position-init-import
分红账户为融资账户，负债来自券商数据
frozen_cash=0.0000
liability=80021.2100
分红账户为融资账户，负债来自券商数据"
3,2026-03-07 16:31:46.420335+00:00,2026-03-08 12:11:56.889385+00:00,CJZQ_MAIN,CJZQ_MAIN,普通账户,CNY,CSV导入,0.0000,2734.3200,0.0000,0.0000,0.0000,388983.3800,170467.6118,391717.7000,启用,"position-init-import
frozen_cash=0.0000"
4,2026-03-07 16:31:46.444879+00:00,2026-03-08 12:11:56.891870+00:00,CJZQ_SUB,CJZQ_SUB,普通账户,CNY,CSV导入,0.0000,27194.1100,0.0000,0.0000,0.0000,19600.0000,10122.5000,46794.1100,启用,"position-init-import
frozen_cash=0.0000"
6,2026-03-07 16:40:58.480317+00:00,2026-03-07 16:43:09.099442+00:00,GYZQ_SMALL,GYZQ_SMALL,普通账户,CNY,CSV导入,0.0000,1000.0800,0.0000,0.0000,0.0000,0.0000,0.0000,1000.0800,启用,frozen_cash=0.0000
